dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	FST_avg	FST_std	corr_pi
735	68.451	47.310	13.623	14.579	16.506	13.927	33.841	27.103	4.481	11.945	14.015	19.993	0.1397392	0.0912775	0.2519758	0.0870389	0.1398138	0.0910908	0.2524672	0.0865216	-0.0020023	0.7713366	-0.0113172	0.6333178	0.4353139	0.1245384	0.2394564	0.1499712	0.3886670	0.2216301	-0.0095263
736	49.018	37.642	1.161	4.402	16.706	15.858	14.688	15.678	16.464	15.167	-6.830	8.155	0.2221807	0.0947156	0.2080371	0.1072254	0.2239226	0.0954401	0.2092540	0.1076386	-0.0583121	0.6394830	-0.0490741	0.6493185	0.2340558	0.1047927	0.0189468	0.0829532	0.0337802	0.1566492	0.5141962
737	35.562	32.488	6.185	9.155	22.625	24.174	4.418	5.975	2.335	5.956	1.882	14.830	0.1707400	0.1175604	0.0478076	0.0680795	0.1717068	0.1171056	0.0482145	0.0699040	-0.0743501	0.6466889	-0.0242765	0.8622241	0.2204674	0.1570552	0.1111937	0.1232976	0.2678062	0.2514752	0.1505589
738	38.826	36.984	10.512	20.089	12.257	14.025	9.451	10.104	6.606	9.422	3.464	22.181	0.1311226	0.0837420	0.1108801	0.0724765	0.1306231	0.0816383	0.1108020	0.0705860	-0.0115471	0.7758757	-0.0214409	0.8041490	0.2774650	0.2459991	0.1564636	0.2389606	0.2217680	0.3369267	0.4507987
739	39.628	30.848	0.654	4.016	12.074	12.998	11.322	11.264	15.579	14.739	-7.917	6.603	0.1830314	0.0897933	0.1796296	0.0922143	0.1844900	0.0894950	0.1797576	0.0904973	-0.0922359	0.6863767	-0.0221931	0.7180501	0.1898214	0.0931154	0.0084909	0.0642868	0.0142174	0.1392401	0.5534732
740	56.689	40.713	4.248	11.886	17.957	15.737	17.738	16.130	16.747	17.351	-2.460	17.413	0.2383860	0.1031554	0.2358216	0.0988450	0.2380835	0.1009616	0.2363949	0.0971856	-0.0046079	0.6534722	-0.0317801	0.6492260	0.3030588	0.1471255	0.0659549	0.1543601	0.0933931	0.2210529	0.4396698
741	56.043	42.300	2.150	7.131	18.460	17.510	17.501	15.725	17.932	18.257	-4.900	12.580	0.2405065	0.0913831	0.2362702	0.0943044	0.2421696	0.0913774	0.2374043	0.0940921	-0.0593926	0.5945327	-0.0560172	0.6006320	0.2731628	0.1113454	0.0347744	0.1048751	0.0547869	0.1756219	0.4787645
742	57.734	39.420	3.926	9.327	18.937	15.924	19.268	15.357	15.603	18.069	-1.787	15.545	0.2287654	0.0880561	0.2308284	0.0901470	0.2304652	0.0882073	0.2314754	0.0892337	-0.0703930	0.5981717	-0.0457862	0.6091822	0.3034157	0.1331539	0.0736187	0.1387766	0.1157603	0.2151839	0.3378485
743	33.139	31.111	0.549	3.213	10.366	11.263	10.044	12.162	12.179	13.886	-8.183	4.775	0.1532987	0.1070679	0.1509522	0.1116789	0.1540781	0.1060329	0.1510017	0.1116467	-0.1000002	0.6989043	-0.0020496	0.7337868	0.1623175	0.1130847	0.0101921	0.0660699	0.0230376	0.1453385	0.7442859
744	40.891	32.370	5.580	13.493	11.799	11.624	12.917	12.784	10.595	12.012	-1.198	16.699	0.1524546	0.0802861	0.1567906	0.0772140	0.1518546	0.0776382	0.1567921	0.0758817	0.0013920	0.7416427	-0.0114229	0.7299760	0.2406731	0.1722136	0.0860506	0.1744076	0.1362336	0.2742560	0.4169031
